"industry","avg_layoff_percentage"
"Aerospace","0.57"
"Education","0.36"
"Travel","0.35"
"Real Estate","0.32"
"Food","0.32"
"Recruiting","0.32"
"Fitness","0.31"
"Infrastructure","0.29"
"Crypto","0.29"
"Healthcare","0.28"
"Consumer","0.27"
"Retail","0.27"
"Construction","0.27"
"Transportation","0.25"
"Product","0.25"
"Finance","0.25"
"Fin-Tech","0.24"
"Legal","0.23"
"Media","0.23"
"HR","0.22"
"Other","0.22"
"Hardware","0.22"
"Energy","0.21"
"Data","0.20"
"Support","0.20"
"Marketing","0.20"
"Logistics","0.18"
"Security","0.16"
"","0.15"
"Sales","0.11"
"Manufacturing","0.05"
